tmdb_id,imdb_id,title,release_date,language,rating_tmdb,rating_imdb,votes_imdb,revenue,director,cast,release_year
464403,tt6104268,Ramaleela,28-09-2017,ml,6.682,7.3,2772,0,Arun Gopy,"Dileep, Kalabhavan Shajon, Radikaa Sarathkumar, Prayaga Martin, Vijayaraghavan",2017
464458,tt6692354,Ittefaq,03-11-2017,hi,6.823,7.2,16955,7900000,Abhay Chopra,"Sidharth Malhotra, Sonakshi Sinha, Akshaye Khanna, Pavail Gulati, Mandira Bedi",2017
464599,tt6173826,Guest iin London,07-07-2017,hi,5.2,5.4,2728,0,Ashwni Dhir,"Kartik Aaryan, Kriti Kharbanda, Paresh Rawal, Tanvi Azmi, Sanjay Mishra",2017
464615,tt6974262,The Big Fat City,15-05-2017,hi,4,4.2,13,0,Mahesh Dattani,Unknown,2017
464670,tt6109124,Aadhi,26-01-2018,ml,5.5,6.4,2300,4370000,Jeethu Joseph,"Pranav Mohanlal, Sharafudheen, Siju Wilson, Siddique, Meghanathan",2018
464785,tt0997033,Athisayan,14-04-2007,ml,3.25,3.7,366,0,Vinayan,"Dev Das, Kavya Madhavan, Jackie Shroff, Karthika Mathew, Mukesh",2007
464881,tt3622658,Dil Rangeela,07-03-2014,kn,4,6.4,63,0,Preetham Gubbi,"Ganesh, Rachita Ram, Priyanka Rao, Rangayana Raghu, Achyuth Kumar",2014
464979,tt6385856,Hey Jude,02-02-2018,ml,6.1,6.8,1587,800800,Shyamaprasad,"Nivin Pauly, Trisha Krishnan, Siddique, Vijay Menon, Apoorva Bose",2018
465024,tt6774420,Queen,12-01-2018,ml,6.4,6.8,1618,1334800,Dijo Jose Antony,"Saniya Iyyappan, Dhruvan, Eldho Mathew, Salim Kumar, Nandhu",2018
465030,tt5582430,Y?,17-11-2017,ml,3.7,6.2,1869,0,Sunil Ibrahim,"Alencier Ley Lopez, Dheeraj Denny, Jins Baskar, Reshma Shenoy, Yehia Kader",2017
465099,tt6996016,Ninnu Kori,07-07-2017,te,6.5,7.5,4493,0,Shiva Nirvana,"Nani, Nivetha Thomas, Aadhi Pinisetty, Tanikella Bharani, Murali Sharma",2017
465174,tt7782364,Rendu Rellu Aaru,07-07-2017,te,3,6.5,39,0,Nandu Mallela,"Anil Mallela, Mahima, Ravi Kale, Naresh, Thagubothu Ramesh",2017
465198,tt3693936,Once Upon a Time in Bihar,30-10-2015,hi,0,6.4,224,0,Nitin Chandrakant Desai,"Kranti Prakash Jha, Pankaj Jha, Ajay Kumar, Vicky Kadian",2015
465378,tt7128254,Goutham Nanda,27-07-2017,te,6.313,6.5,1246,0,Sampath Nandi,"Gopichand, Hansika Motwani, Catherine Tresa, Chandramohan, Seetha",2017
465571,tt4479870,Bandipotu,20-02-2015,te,6,5.7,115,0,Mohana Krishna Indraganti,"Allari Naresh, Eesha Rebba, Rao Ramesh, Posani Krishna Murali, Tanikella Bharani",2015
465954,tt4287778,Night,14-07-2017,hi,7.5,4.3,263,0,Onir,"Ashish Bisht, Raveena Tandon, Arpita Chatterjee, Sanjay Suri, Simon Frenay",2017
466147,tt7286562,Jaya Janaki Nayaka,11-08-2017,te,5.1,5.2,1426,0,Boyapati Srinu,"Bellamkonda Srinivas, Rakul Preet Singh, Pragya Jaiswal, Jagapati Babu, R. Sarathkumar",2017
466210,tt5791986,III Smoking Barrels,21-09-2018,hi,7,6.6,135,0,Sanjib Dey,"Subrat Dutta, Indraneil Sengupta, Mandakini Goswami, Amrita Chattopadhyay, Shiny Gogoi",2018
